Year,Round,Seed_Favorite,Team_Favorite,Seed_Underdog,Team_Underdog,Underdog_Upset,G_Favorite,W-L%_Favorite,SOS_Favorite,FG%_Favorite,3P%_Favorite,FT%_Favorite,Pace_Favorite,ORtg_Favorite,FTr_Favorite,3PAr_Favorite,TS%_Favorite,TRB%_Favorite,AST%_Favorite,STL%_Favorite,BLK%_Favorite,eFG%_Favorite,TOV%_Favorite,ORB%_Favorite,FT/FGA_Favorite,Top_25_Favorite,MM_Favorite,S16_Favorite,F4_Favorite,Champs_Favorite,Tm./Game_Favorite,Opp./Game_Favorite,FG/Game_Favorite,3P/Game_Favorite,FT/Game_Favorite,ORB/Game_Favorite,TRB/Game_Favorite,AST/Game_Favorite,STL/Game_Favorite,BLK/Game_Favorite,TOV/Game_Favorite,PF/Game_Favorite,G_Underdog,W-L%_Underdog,SOS_Underdog,FG%_Underdog,3P%_Underdog,FT%_Underdog,Pace_Underdog,ORtg_Underdog,FTr_Underdog,3PAr_Underdog,TS%_Underdog,TRB%_Underdog,AST%_Underdog,STL%_Underdog,BLK%_Underdog,eFG%_Underdog,TOV%_Underdog,ORB%_Underdog,FT/FGA_Underdog,Top_25_Underdog,MM_Underdog,S16_Underdog,F4_Underdog,Champs_Underdog,Tm./Game_Underdog,Opp./Game_Underdog,FG/Game_Underdog,3P/Game_Underdog,FT/Game_Underdog,ORB/Game_Underdog,TRB/Game_Underdog,AST/Game_Underdog,STL/Game_Underdog,BLK/Game_Underdog,TOV/Game_Underdog,PF/Game_Underdog
1993,First Round,1,UNC,16,East Carolina,0,38.0,0.895,11.25,0.506,0.372,0.706,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,1.0,23.0,19.0,9.0,2.0,86.1,68.3,32.1,4.4,17.5,,41.1,18.4,9.4,3.8,15.3,15.8,30.0,0.433,0.95,0.419,0.333,0.643,,,0.386,0.274,0.498,50.9,47.7,,5.9,0.465,17.3,,0.248,0.0,1.0,0.0,0.0,0.0,67.9,69.6,24.2,5.3,14.3,,35.8,11.5,7.3,2.2,14.2,19.7
1993,Second Round,1,UNC,8,Rhode Island,1,38.0,0.895,11.25,0.506,0.372,0.706,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,1.0,23.0,19.0,9.0,2.0,86.1,68.3,32.1,4.4,17.5,,41.1,18.4,9.4,3.8,15.3,15.8,30.0,0.633,6.4,0.439,0.335,0.716,,,0.453,0.268,0.531,51.5,50.7,,6.9,0.484,16.4,,0.324,0.0,1.0,0.0,0.0,0.0,77.2,74.1,26.2,5.4,19.4,,37.1,13.3,8.5,2.7,14.3,24.4
1993,Sweet Sixteen,1,UNC,4,Arkansas,0,38.0,0.895,11.25,0.506,0.372,0.706,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,1.0,23.0,19.0,9.0,2.0,86.1,68.3,32.1,4.4,17.5,,41.1,18.4,9.4,3.8,15.3,15.8,31.0,0.71,8.3,0.488,0.395,0.687,,,0.354,0.261,0.566,45.6,58.5,,7.2,0.539,15.9,,0.243,1.0,9.0,3.0,1.0,0.0,86.9,77.5,32.1,6.8,16.0,,34.4,18.8,11.4,3.1,14.5,22.8
1993,Elite Eight,1,UNC,2,Cincinnati,0,38.0,0.895,11.25,0.506,0.372,0.706,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,1.0,23.0,19.0,9.0,2.0,86.1,68.3,32.1,4.4,17.5,,41.1,18.4,9.4,3.8,15.3,15.8,32.0,0.844,6.62,0.47,0.322,0.639,,,0.347,0.258,0.535,53.2,57.0,,7.3,0.512,16.9,,0.222,1.0,3.0,2.0,1.0,0.0,74.5,58.5,28.1,5.0,13.2,,36.0,16.0,10.0,2.6,14.1,18.5
1993,Final Four,1,UNC,2,Kansas,0,38.0,0.895,11.25,0.506,0.372,0.706,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,1.0,23.0,19.0,9.0,2.0,86.1,68.3,32.1,4.4,17.5,,41.1,18.4,9.4,3.8,15.3,15.8,36.0,0.806,10.88,0.515,0.408,0.718,,,0.39,0.245,0.595,51.7,61.9,,6.5,0.565,17.0,,0.28,1.0,4.0,2.0,2.0,0.0,84.4,69.7,30.8,6.0,16.8,,36.1,19.1,9.1,2.9,14.5,17.6
1993,Elite Eight,1,Indiana,2,Kansas,1,35.0,0.886,11.09,0.522,0.425,0.717,,,0.459,0.225,0.603,52.1,57.6,,6.0,0.57,15.2,,0.329,1.0,17.0,13.0,5.0,3.0,86.5,71.6,30.7,5.6,19.4,,36.6,17.7,6.2,2.8,12.9,15.9,36.0,0.806,10.88,0.515,0.408,0.718,,,0.39,0.245,0.595,51.7,61.9,,6.5,0.565,17.0,,0.28,1.0,4.0,2.0,2.0,0.0,84.4,69.7,30.8,6.0,16.8,,36.1,19.1,9.1,2.9,14.5,17.6
1993,National Championship,1,UNC,1,Michigan,0,38.0,0.895,11.25,0.506,0.372,0.706,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,1.0,23.0,19.0,9.0,2.0,86.1,68.3,32.1,4.4,17.5,,41.1,18.4,9.4,3.8,15.3,15.8,36.0,0.861,11.89,0.498,0.35,0.653,,,0.362,0.19,0.555,55.2,51.9,,11.4,0.532,17.4,,0.237,1.0,4.0,3.0,3.0,1.0,81.9,71.8,31.4,4.2,14.9,,41.5,16.3,6.8,5.4,15.6,18.6
1993,Final Four,1,Kentucky,1,Michigan,1,34.0,0.882,9.23,0.48,0.394,0.688,,,0.359,0.395,0.582,54.0,63.5,,10.7,0.558,17.5,,0.247,1.0,4.0,3.0,2.0,0.0,87.5,69.8,30.8,10.0,15.9,,40.1,19.6,9.5,4.7,15.9,22.8,36.0,0.861,11.89,0.498,0.35,0.653,,,0.362,0.19,0.555,55.2,51.9,,11.4,0.532,17.4,,0.237,1.0,4.0,3.0,3.0,1.0,81.9,71.8,31.4,4.2,14.9,,41.5,16.3,6.8,5.4,15.6,18.6
1993,First Round,8,Rhode Island,9,Purdue,0,30.0,0.633,6.4,0.439,0.335,0.716,,,0.453,0.268,0.531,51.5,50.7,,6.9,0.484,16.4,,0.324,0.0,1.0,0.0,0.0,0.0,77.2,74.1,26.2,5.4,19.4,,37.1,13.3,8.5,2.7,14.3,24.4,28.0,0.643,9.63,0.482,0.385,0.708,,,0.393,0.19,0.555,50.6,59.9,,5.3,0.519,18.8,,0.278,0.0,10.0,1.0,0.0,0.0,70.9,67.8,26.0,3.9,15.0,,32.1,15.6,6.5,2.3,14.8,18.1
1993,First Round,5,St. John's (NY),12,Texas Tech,0,30.0,0.633,9.49,0.481,0.331,0.665,,,0.466,0.141,0.54,52.1,57.3,,5.7,0.504,17.9,,0.31,0.0,1.0,0.0,0.0,0.0,75.4,71.7,27.5,2.7,17.7,,36.4,15.8,9.2,2.3,15.2,22.0,30.0,0.6,1.56,0.475,0.376,0.679,,,0.447,0.291,0.562,52.7,61.5,,5.6,0.53,18.1,,0.304,0.0,1.0,0.0,0.0,0.0,80.2,77.5,27.9,6.4,17.9,,38.5,17.2,6.8,2.6,15.8,18.7
1993,First Round,4,Arkansas,13,Holy Cross,0,31.0,0.71,8.3,0.488,0.395,0.687,,,0.354,0.261,0.566,45.6,58.5,,7.2,0.539,15.9,,0.243,1.0,9.0,3.0,1.0,0.0,86.9,77.5,32.1,6.8,16.0,,34.4,18.8,11.4,3.1,14.5,22.8,30.0,0.767,-5.04,0.473,0.388,0.737,,,0.456,0.226,0.562,48.2,60.6,,5.9,0.516,16.8,,0.336,0.0,3.0,0.0,0.0,0.0,85.4,77.8,29.5,5.5,21.0,,37.0,17.9,10.1,3.1,15.4,18.4
