Year,Round,Seed_Favorite,Team_Favorite,Seed_Underdog,Team_Underdog,Underdog_Upset,G_Favorite,W_Favorite,W-L%_Favorite,SRS_Favorite,Conf_W_Favorite,Conf_L_Favorite,Home_W_Favorite,Home_L_Favorite,Away_W_Favorite,Away_L_Favorite,FG_Favorite,FG%_Favorite,3P_Favorite,3P%_Favorite,FT_Favorite,FT%_Favorite,ORB_Favorite,TRB_Favorite,AST_Favorite,STL_Favorite,BLK_Favorite,TOV_Favorite,PF_Favorite,Pace_Favorite,ORtg_Favorite,FTr_Favorite,3PAr_Favorite,TS%_Favorite,TRB%_Favorite,AST%_Favorite,STL%_Favorite,BLK%_Favorite,eFG%_Favorite,TOV%_Favorite,ORB%_Favorite,FT/FGA_Favorite,Conf_Favorite,Top_25_Favorite,MM_Favorite,S16_Favorite,F4_Favorite,Champs_Favorite,G_Underdog,W_Underdog,W-L%_Underdog,SRS_Underdog,Conf_W_Underdog,Conf_L_Underdog,Home_W_Underdog,Home_L_Underdog,Away_W_Underdog,Away_L_Underdog,FG_Underdog,FG%_Underdog,3P_Underdog,3P%_Underdog,FT_Underdog,FT%_Underdog,ORB_Underdog,TRB_Underdog,AST_Underdog,STL_Underdog,BLK_Underdog,TOV_Underdog,PF_Underdog,Pace_Underdog,ORtg_Underdog,FTr_Underdog,3PAr_Underdog,TS%_Underdog,TRB%_Underdog,AST%_Underdog,STL%_Underdog,BLK%_Underdog,eFG%_Underdog,TOV%_Underdog,ORB%_Underdog,FT/FGA_Underdog,Conf_Underdog,Top_25_Underdog,MM_Underdog,S16_Underdog,F4_Underdog,Champs_Underdog
1993,First Round,1,UNC,16,East Carolina,0,38.0,34.0,0.895,29.04,14.0,2.0,,,,,1219.0,0.506,168.0,0.372,666.0,0.706,,1561.0,698.0,357.0,145.0,581.0,602.0,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,ACC,1.0,23.0,19.0,9.0,2.0,30.0,13.0,0.433,-2.02,4.0,10.0,,,,,725.0,0.419,158.0,0.333,429.0,0.643,,1073.0,346.0,220.0,66.0,427.0,591.0,,,0.386,0.274,0.498,50.9,47.7,,5.9,0.465,17.3,,0.248,CAA,0.0,1.0,0.0,0.0,0.0
1993,Second Round,1,UNC,8,Rhode Island,1,38.0,34.0,0.895,29.04,14.0,2.0,,,,,1219.0,0.506,168.0,0.372,666.0,0.706,,1561.0,698.0,357.0,145.0,581.0,602.0,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,ACC,1.0,23.0,19.0,9.0,2.0,30.0,19.0,0.633,9.5,8.0,6.0,,,,,787.0,0.439,161.0,0.335,582.0,0.716,,1114.0,399.0,255.0,82.0,429.0,732.0,,,0.453,0.268,0.531,51.5,50.7,,6.9,0.484,16.4,,0.324,A-10,0.0,1.0,0.0,0.0,0.0
1993,Sweet Sixteen,1,UNC,4,Arkansas,0,38.0,34.0,0.895,29.04,14.0,2.0,,,,,1219.0,0.506,168.0,0.372,666.0,0.706,,1561.0,698.0,357.0,145.0,581.0,602.0,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,ACC,1.0,23.0,19.0,9.0,2.0,31.0,22.0,0.71,17.72,10.0,6.0,,,,,995.0,0.488,210.0,0.395,495.0,0.687,,1065.0,582.0,352.0,97.0,451.0,707.0,,,0.354,0.261,0.566,45.6,58.5,,7.2,0.539,15.9,,0.243,SEC,1.0,9.0,3.0,1.0,0.0
1993,Elite Eight,1,UNC,2,Cincinnati,0,38.0,34.0,0.895,29.04,14.0,2.0,,,,,1219.0,0.506,168.0,0.372,666.0,0.706,,1561.0,698.0,357.0,145.0,581.0,602.0,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,ACC,1.0,23.0,19.0,9.0,2.0,32.0,27.0,0.844,22.62,8.0,2.0,,,,,900.0,0.47,159.0,0.322,424.0,0.639,,1152.0,513.0,319.0,83.0,452.0,592.0,,,0.347,0.258,0.535,53.2,57.0,,7.3,0.512,16.9,,0.222,GMWC,1.0,3.0,2.0,1.0,0.0
1993,Final Four,1,UNC,2,Kansas,0,38.0,34.0,0.895,29.04,14.0,2.0,,,,,1219.0,0.506,168.0,0.372,666.0,0.706,,1561.0,698.0,357.0,145.0,581.0,602.0,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,ACC,1.0,23.0,19.0,9.0,2.0,36.0,29.0,0.806,22.3,11.0,3.0,,,,,1109.0,0.515,215.0,0.408,604.0,0.718,,1299.0,687.0,328.0,104.0,523.0,633.0,,,0.39,0.245,0.595,51.7,61.9,,6.5,0.565,17.0,,0.28,Big 8,1.0,4.0,2.0,2.0,0.0
1993,Elite Eight,1,Indiana,2,Kansas,1,35.0,31.0,0.886,25.83,17.0,1.0,,,,,1076.0,0.522,197.0,0.425,679.0,0.717,,1281.0,620.0,218.0,99.0,450.0,557.0,,,0.459,0.225,0.603,52.1,57.6,,6.0,0.57,15.2,,0.329,Big Ten,1.0,17.0,13.0,5.0,3.0,36.0,29.0,0.806,22.3,11.0,3.0,,,,,1109.0,0.515,215.0,0.408,604.0,0.718,,1299.0,687.0,328.0,104.0,523.0,633.0,,,0.39,0.245,0.595,51.7,61.9,,6.5,0.565,17.0,,0.28,Big 8,1.0,4.0,2.0,2.0,0.0
1993,National Championship,1,UNC,1,Michigan,0,38.0,34.0,0.895,29.04,14.0,2.0,,,,,1219.0,0.506,168.0,0.372,666.0,0.706,,1561.0,698.0,357.0,145.0,581.0,602.0,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277,ACC,1.0,23.0,19.0,9.0,2.0,36.0,31.0,0.861,22.01,15.0,3.0,,,,,1131.0,0.498,151.0,0.35,537.0,0.653,,1493.0,587.0,243.0,193.0,561.0,670.0,,,0.362,0.19,0.555,55.2,51.9,,11.4,0.532,17.4,,0.237,Big Ten,1.0,4.0,3.0,3.0,1.0
1993,Final Four,1,Kentucky,1,Michigan,1,34.0,30.0,0.882,26.9,13.0,3.0,,,,,1048.0,0.48,340.0,0.394,539.0,0.688,,1364.0,665.0,323.0,160.0,541.0,776.0,,,0.359,0.395,0.582,54.0,63.5,,10.7,0.558,17.5,,0.247,SEC,1.0,4.0,3.0,2.0,0.0,36.0,31.0,0.861,22.01,15.0,3.0,,,,,1131.0,0.498,151.0,0.35,537.0,0.653,,1493.0,587.0,243.0,193.0,561.0,670.0,,,0.362,0.19,0.555,55.2,51.9,,11.4,0.532,17.4,,0.237,Big Ten,1.0,4.0,3.0,3.0,1.0
1993,First Round,8,Rhode Island,9,Purdue,0,30.0,19.0,0.633,9.5,8.0,6.0,,,,,787.0,0.439,161.0,0.335,582.0,0.716,,1114.0,399.0,255.0,82.0,429.0,732.0,,,0.453,0.268,0.531,51.5,50.7,,6.9,0.484,16.4,,0.324,A-10,0.0,1.0,0.0,0.0,0.0,28.0,18.0,0.643,12.95,9.0,9.0,,,,,728.0,0.482,110.0,0.385,420.0,0.708,,898.0,436.0,183.0,65.0,414.0,507.0,,,0.393,0.19,0.555,50.6,59.9,,5.3,0.519,18.8,,0.278,Big Ten,1.0,10.0,1.0,0.0,0.0
1993,First Round,5,St. John's (NY),12,Texas Tech,0,30.0,19.0,0.633,13.14,12.0,6.0,,,,,825.0,0.481,80.0,0.331,531.0,0.665,,1092.0,473.0,275.0,70.0,456.0,660.0,,,0.466,0.141,0.54,52.1,57.3,,5.7,0.504,17.9,,0.31,Big East,0.0,1.0,0.0,0.0,0.0,30.0,18.0,0.6,2.91,6.0,8.0,,,,,838.0,0.475,193.0,0.376,536.0,0.679,,1156.0,515.0,203.0,77.0,473.0,561.0,,,0.447,0.291,0.562,52.7,61.5,,5.6,0.53,18.1,,0.304,SWC,0.0,1.0,0.0,0.0,0.0
